Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
452º f : revista de teoría de la literatura y literatura comparada,False,452º F : Revista de Teoría de la Literatura y Literatura Comparada,2013-3294,2016-10-30,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
a contracorriente,False,A Contracorriente,1548-7083,2017-04-27,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
aaup journal of academic freedom,False,AAUP Journal of Academic Freedom,2153-8492,2016-11-23,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
abant kültürel araştırmalar dergisi,False,Abant Kültürel Araştırmalar Dergisi,2528-9403,2020-05-18,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
academia anatomica international,False,Academia Anatomica International,2455-5274,2017-11-14,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
"academic journal of business, administration, law and social sciences",False,"Academic Journal of Business, Administration, Law and Social Sciences",2410-3918,2019-04-10,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
acción pedagógica (san cristóbal),False,Acción Pedagógica (San Cristóbal),1315-401X,2017-01-23,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
accounting and finance research,False,Accounting and Finance Research,"1927-5986, 1927-5994",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
acrocephalus,False,Acrocephalus,2199-6067,2022-04-14,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
act: zeitschrift für musik & performance,False,Act: Zeitschrift für Musik & Performance,2191-253X,2017-06-23,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
acta adriatica,False,Acta Adriatica,0001-5113,2017-04-29,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
acta comportamentalia : revista latina de análisis del comportamiento,False,Acta Comportamentalia : Revista Latina de Análisis del Comportamiento,0188-8145,2016-02-15,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
acta electronica malaysia,False,Acta Electronica Malaysia,2590-4043,2021-10-05,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
acta geologica slovaca,False,Acta Geologica Slovaca,1338-0044,2017-02-21,1677-09-22,no OA and licence,DOAJ,,interesting reason
