,Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
0,"#tear: revista de educação, ciência e tecnologia",True,"#Tear: Revista de Educação, Ciência e Tecnologia",2238-8079,1677-09-22,2015-07-20,Still in DOAJ index,DOAJ,https://periodicos.ifrs.edu.br/index.php/tear/index,interesting reason
1,(en)clave comahue,True,(En)clave Comahue,2545-6466,1677-09-22,2019-05-13,Still in DOAJ index,DOAJ,http://revele.uncoma.edu.ar/htdoc/revele/index.php/revistadelafacultad,interesting reason
2,(پژوهش حسابداری و حسابرسی (پیوسته,True,(پژوهش حسابداری و حسابرسی (پیوسته,2676-7554,1677-09-22,2020-05-25,Still in DOAJ index,DOAJ,https://ijar.alzahra.ac.ir/,interesting reason
3,100-cs,True,100-Cs,0719-5737,1677-09-22,2018-12-27,Still in DOAJ index,DOAJ,http://100cs.cl/,interesting reason
4,1616,True,1616,0210-7287,1677-09-22,2020-03-09,Still in DOAJ index,DOAJ,http://revistas.usal.es/index.php/1616_Anuario_Literatura_Comp/index,interesting reason
5,1991. revista de estudios internacionales,True,1991. Revista de Estudios Internacionales,2683-720X,1677-09-22,2020-06-01,Still in DOAJ index,DOAJ,https://revistas.unc.edu.ar/index.php/revesint/index,interesting reason
6,"21: inquiries into art, history, and the visual",True,"21: Inquiries into Art, History, and the Visual",2701-1569,1677-09-22,2021-01-13,Still in DOAJ index,DOAJ,https://journals.ub.uni-heidelberg.de/index.php/xxi/about,interesting reason
7,2i revista de estudos de identidade e intermedialidade,True,2i Revista de Estudos de Identidade e Intermedialidade,2184-7010,1677-09-22,2021-05-06,Still in DOAJ index,DOAJ,https://revistas.uminho.pt/index.php/2i/,interesting reason
8,360,True,360,2415-5861,1677-09-22,2019-05-13,Still in DOAJ index,DOAJ,http://revistas.pucp.edu.pe/360gestion,interesting reason
9,3c tic,True,3C TIC,2254-6529,1677-09-22,2016-01-08,Still in DOAJ index,DOAJ,http://ojs.3ciencias.com/index.php/3c-tic/index,interesting reason
10,3d printing in medicine,True,3D Printing in Medicine,2365-6271,1677-09-22,2018-05-10,Still in DOAJ index,DOAJ,https://threedmedprint.biomedcentral.com/,interesting reason
11,4 open,True,4 open,2557-0250,1677-09-22,2019-07-10,Still in DOAJ index,DOAJ,https://www.4open-sciences.org/,interesting reason
12,452ºf,True,452ºF,2013-3294,1677-09-22,2017-11-20,Still in DOAJ index,DOAJ,http://www.452f.com/index.php,interesting reason
13,5% arquitetura + arte,True,5% Arquitetura + Arte,1808-1142,1677-09-22,2020-08-04,Still in DOAJ index,DOAJ,http://revista5.arquitetonica.com/,interesting reason
14,[i2]: investigación e innovación en arquitectura y territorio,True,[i2]: Investigación e Innovación en Arquitectura y Territorio,2341-0515,1677-09-22,2016-01-25,Still in DOAJ index,DOAJ,https://i2.ua.es,interesting reason
15,a cor das letras,True,A Cor das Letras,1415-8973,1677-09-22,2017-09-26,Still in DOAJ index,DOAJ,http://periodicos.uefs.br/index.php/acordasletras/index,interesting reason
16,a peer-reviewed journal about,True,A Peer-Reviewed Journal About,2245-7755,1677-09-22,2021-12-15,Still in DOAJ index,DOAJ,https://aprja.net,interesting reason
17,a&p continuidad,True,A&P Continuidad,2362-6089,1677-09-22,2019-02-25,Still in DOAJ index,DOAJ,http://www.ayp.fapyd.unr.edu.ar/,interesting reason
