JournalId,NormalizedName,Reason,Issn,num_journal_publication,num_journal_author,num_journal_affiliation,journal_year_first_publish,journal_avg_hindex,journal_avg_first_author_hindex,journal_avg_last_author_hindex,journal_avg_middle_author_hindex,total_num_journal_reference,total_num_journal_cited,journal_paper_reference_num,journal_paper_cited_num,journal_journal_reference_num,journal_journal_cited_num,journal_num_author_referenced,journal_num_author_cited,journal_num_affiliation_referenced,journal_num_affiliation_cited,journal_num_journal_self_reference,journal_num_author_self_reference,journal_num_affiliation_self_reference,journal_num_journal_self_cited,journal_num_author_self_cited,journal_num_affiliation_self_cited
2736556212,3c tic,Still in DOAJ index,2254-6529,200,59,59,2012,2.4815040650406504,2.423076923076923,0.645,0.6174242424242424,90,94,86,90,39,28,245,249,40,53,0,3,0,0,4,0
2764745361,aace clinical case reports,Still in DOAJ index,2376-0605,653,2458,2458,2014,10.62995412367272,4.981981981981982,12.782542113323125,6.743214237713364,9397,605,8429,584,1684,280,38989,2810,1926,559,46,88,106,41,24,20
3035250834,aaps open,Still in DOAJ index,2364-9534,34,158,158,2015,9.05501567398119,6.0,7.794117647058823,7.119501100751101,778,203,739,195,311,94,3021,867,491,254,3,15,12,3,6,7
2738588953,abril,Still in DOAJ index,1984-2090,46,3,3,2008,1.9285714285714286,2.8,0.21739130434782608,0.3333333333333333,12,3,12,3,5,1,14,2,5,2,0,0,0,0,0,0
163259234,acarologia,Still in DOAJ index,0044-586X,2656,567,567,1959,6.031054936526412,5.588235294117647,1.9905873493975903,2.9311473429951693,3463,14585,2859,8265,473,876,5110,14129,719,1585,122,109,45,210,330,105
2737821890,accounting analysis journal,Still in DOAJ index,2252-6765,356,117,117,2012,1.6521739130434783,1.3529411764705883,0.8258426966292135,0.41379310344827586,509,481,437,404,77,65,709,908,141,73,7,1,8,10,3,24
2765032114,acg case reports journal,Still in DOAJ index,2326-3253,1261,4197,4197,2013,8.993855706874403,3.515021459227468,10.639968279143536,6.071999306042601,11077,2215,10272,2067,1668,732,47639,10273,2090,1189,38,86,122,38,47,44
2737690425,acme,Still in DOAJ index,0001-494X,255,28,28,1977,4.475352112676056,3.5,1.3764705882352941,2.1222943722943723,284,123,280,123,65,44,446,222,107,89,0,8,6,0,10,8
2738955967,acta agriculturae serbica,Still in DOAJ index,0354-9542,368,603,603,2000,3.103585221967576,3.0694444444444446,1.1005434782608696,1.5297924297924295,2754,421,2616,386,845,178,8221,1439,943,210,38,63,0,41,46,1
2736532207,acta angiologica,Still in DOAJ index,1644-3276,411,688,688,2001,5.165904774699683,3.6755555555555555,4.656934306569343,2.8485432111747913,4456,432,4141,420,910,233,17569,2029,1083,374,10,48,8,10,32,5
206176358,acta bioethica,Still in DOAJ index,0717-5906,1463,630,630,2000,5.358170685036355,5.015810276679842,3.040328092959672,2.5776528512639625,5208,2367,4505,1957,1172,503,11562,4840,1262,718,95,77,97,115,65,102
2737068255,acta biologica sibirica,Still in DOAJ index,2412-1908,419,309,309,2013,4.446177370030581,4.111111111111111,0.9785202863961814,1.0070490620490622,1241,155,1149,137,425,49,3130,540,582,90,26,37,11,26,21,6
60988351,acta clinica croatica,Still in DOAJ index,0353-9466,3028,3852,3852,1991,4.332201137685733,3.6708259061200237,3.700792602377807,2.3321508521532577,22650,5531,21706,5172,3444,2086,93945,24002,3165,2047,283,275,141,303,214,92
2737573434,acta fytotechnica et zootechnica,Still in DOAJ index,1335-258X,571,780,780,1998,4.415103785103786,3.608695652173913,3.3415061295971977,2.8354313064196783,2418,432,2289,399,786,190,8541,1506,981,261,14,89,63,15,64,42
64331569,acta histriae,Still in DOAJ index,2591-1767,97,16,16,1994,3.5166666666666666,3.5,1.092783505154639,0.0,156,30,155,25,30,12,174,29,21,10,1,5,0,1,3,0
2764688742,acta innovations,Still in DOAJ index,2300-5599,281,387,387,2011,4.535757575757576,3.708955223880597,2.5160142348754446,2.550190476190476,3778,270,3437,214,1075,91,10696,718,1561,189,20,61,56,25,25,19
2737925000,acta medica bulgarica,Still in DOAJ index,0324-1750,269,712,712,2001,4.896236816874402,3.5,2.5613382899628254,1.6412178562178563,4498,155,4420,146,1688,104,21966,649,1764,178,5,33,25,8,10,10
2736484253,acta medica medianae,Still in DOAJ index,0365-4478,801,1222,1222,1985,4.113116928222936,3.857142857142857,2.0387016229712858,2.445690934908187,8598,492,7520,477,2415,249,33852,1705,2188,307,49,86,9,45,49,5
184108653,acta montanistica slovaca,Still in DOAJ index,1335-1788,275,175,175,1996,2.9420187793427233,3.6382978723404253,0.5272727272727272,0.655367231638418,373,851,349,815,150,340,808,2349,179,489,2,16,1,3,25,9
2736373470,acta neophilologica,Still in DOAJ index,0567-784X,847,203,203,1988,1.7790697674418605,1.7480314960629921,0.2668240850059032,0.75,1418,107,1331,98,186,33,1642,126,154,38,8,16,13,9,11,7
2738379451,acta periodica duellatorum,Still in DOAJ index,2064-0404,111,52,52,2013,2.1080246913580245,2.16,0.8198198198198198,2.5,512,64,450,40,120,10,639,51,96,21,26,16,1,31,14,2
180067919,acta psychologica,Still in DOAJ index,1873-6297,5581,7697,7697,1936,9.432984632136057,6.420192058136517,8.966314280594876,9.343243960819875,157846,145871,83952,105729,3131,6100,97398,156332,3618,5662,2498,3209,3051,2126,2783,2676
2736686313,acta stomatologica naissi,Still in DOAJ index,0352-5252,168,175,175,2002,3.9806926406926406,3.6857142857142855,1.3214285714285714,2.0201495726495726,1344,138,1221,92,482,48,4672,315,739,56,12,16,3,13,20,2
2737481661,acta technologica agriculturae,Still in DOAJ index,1338-5267,326,524,524,1975,3.2745801702323436,3.2467532467532467,1.6503067484662577,1.8129032258064521,2680,662,2422,537,735,140,7330,1620,1025,260,140,91,69,125,61,46
79873615,acta theologica,Still in DOAJ index,2309-9089,1033,308,308,1998,2.7511061946902653,2.8356481481481484,1.0454985479186834,1.6111111111111112,4801,1162,4149,932,493,191,4565,1065,307,208,40,54,47,43,59,98
2737826994,acta universitatis agriculturae et silviculturae mendelianae brunensis,Still in DOAJ index,1211-8516,3432,3323,3323,1990,2.838581462355471,2.6030267753201395,1.733974358974359,2.2000133764982635,32201,6559,27229,5527,4381,1388,64380,15191,3732,1685,733,854,398,735,769,341
2764759726,addiction and health,Still in DOAJ index,2008-4633,331,735,735,2009,5.559867626704362,3.962566844919786,4.658610271903323,3.3770689655172417,5066,1789,4644,1547,1473,667,17199,6467,1658,1016,49,78,98,56,71,108
2898531107,addictive behaviors reports,Still in DOAJ index,2352-8532,375,1492,1492,2015,17.6337458297875,10.726984126984126,24.450666666666667,13.06309570500047,15342,3197,12712,2676,1860,697,34552,9307,2735,1601,51,295,284,65,169,168
2738113030,adeptus,Still in DOAJ index,2300-0783,135,23,23,2013,1.8,1.9230769230769231,0.2,0.0,96,22,94,22,28,9,124,31,12,17,1,1,1,1,3,3
2764910940,admet and dmpk,Still in DOAJ index,1848-7718,203,130,130,2013,15.743433583959902,12.85276073619632,19.295566502463053,6.812289363529032,328,705,307,578,106,273,1116,2736,266,575,0,9,6,0,74,50
11826920,adsorption science & technology,Still in DOAJ index,2048-4038,2058,5078,5078,1984,6.623803209672776,5.068627450980392,6.48153547133139,4.410959872512775,45116,18006,32717,14920,2069,1491,75690,42751,3602,3081,667,1215,1233,784,1014,968
2764435426,advanced biomedical engineering,Still in DOAJ index,2187-5219,215,772,772,2012,10.24116075723219,5.596026490066225,14.372093023255815,7.046558170294125,3428,453,3286,420,1072,185,13972,1664,1401,364,31,138,125,34,90,86
126156665,advanced composites letters,Still in DOAJ index,2633-366X,825,2073,2073,1992,6.256893476044854,3.8651162790697673,5.127272727272727,3.593421967327077,9712,2855,8741,2578,1085,546,22450,6863,2038,1207,59,343,370,63,282,274
3034486266,advanced modeling and simulation in engineering sciences,Still in DOAJ index,2213-7467,208,588,588,2014,14.800735578784357,7.9147727272727275,20.201923076923077,13.688565549676666,8079,1525,6576,1360,908,308,10883,3084,1291,600,43,188,174,41,124,122
2737737698,advanced science,Still in DOAJ index,2198-3844,3486,21051,21051,2013,21.407195439397626,9.8002414001207,44.19047619047619,17.353573636402107,209414,87618,159130,71456,5423,2438,518121,251049,6995,4694,905,2707,2788,957,2108,2182
2737477049,advancements in life sciences,Still in DOAJ index,2310-5380,229,182,182,2013,6.811881338777075,4.957746478873239,5.358078602620087,4.30005959406435,834,617,813,429,461,212,3409,1907,590,410,7,15,10,8,41,45
3034236846,advances in aerodynamics,Still in DOAJ index,2524-6992,82,260,260,2019,11.463514419852448,7.728813559322034,14.146341463414634,5.385919540229884,2767,199,2392,156,332,39,4657,363,655,95,23,61,66,22,29,28
3164692872,advances in bridge engineering,Still in DOAJ index,2662-5407,48,183,183,2020,11.411904761904761,10.064516129032258,11.6875,4.677533577533579,1695,38,1562,33,299,18,3808,132,618,42,5,33,37,4,10,10
2764744304,advances in climate change research,Still in DOAJ index,1674-9278,593,1458,1458,2005,9.371630144194027,7.511111111111111,5.738617200674536,6.120804964466939,12792,4988,10511,4235,1383,769,30754,16407,2243,1877,125,209,269,159,118,194
2764731901,advances in horticultural science,Still in DOAJ index,0394-6169,1057,924,924,1961,5.634710079317924,4.570719602977667,2.8325449385052033,2.831550730709216,4708,4227,4358,3766,642,758,10764,11611,832,1145,44,104,13,56,200,48
2737746339,advances in interventional cardiology,Still in DOAJ index,1897-4295,808,1722,1722,1998,9.57888606564143,6.310769230769231,14.324257425742575,7.245934078912068,9395,1512,7887,1346,919,481,38289,7329,1788,909,120,215,140,146,152,112
2736480853,advances in military technology,Still in DOAJ index,1802-2308,201,229,229,2012,3.150520833333333,2.523076923076923,1.1741293532338308,2.0411155202821867,616,163,612,154,258,58,1536,478,381,89,4,21,14,4,21,16
