JournalId,Issn,NormalizedName,num_journal_publication,num_journal_author,num_journal_affiliation,journal_year_first_publish,journal_avg_hindex,journal_avg_first_author_hindex,journal_avg_last_author_hindex,journal_avg_middle_author_hindex,total_num_journal_reference,total_num_journal_cited,journal_paper_reference_num,journal_paper_cited_num,journal_journal_reference_num,journal_journal_cited_num,journal_num_author_referenced,journal_num_author_cited,journal_num_affiliation_referenced,journal_num_affiliation_cited,journal_num_journal_self_reference,journal_num_author_self_reference,journal_num_affiliation_self_reference,journal_num_journal_self_cited,journal_num_author_self_cited,journal_num_affiliation_self_cited
161399637,1015-8987,cellular physiology and biochemistry,5954,24816,24816,1991,10.04675673256743,5.605793450881612,15.583137386630836,6.99332496797758,203586,130983,152217,98540,5085,5118,536200,430505,5809,5929,2741,3253,2935,2694,3383,3170
47727624,0165-5701,international ophthalmology,4193,12322,12322,1978,7.421600215001431,5.557527733755943,8.626281898402098,5.254642961788916,90757,37025,66305,30386,3713,2853,166566,84772,3947,3380,897,1445,1200,850,916,769
160779208,0021-9002,journal of applied probability,5390,5327,5327,1964,6.816620611084853,6.514821865651347,4.815398886827459,8.120551724137933,62899,113631,31141,74752,1524,3604,27734,74518,1970,4431,3103,2469,748,2436,2367,709
22232893,1759-4758,nature reviews neurology,2931,3786,3786,2005,23.631600689268208,20.50951293759513,25.391675196178777,28.74794774556407,106349,114934,86052,98995,3921,5897,297086,345246,5152,6364,525,1386,1233,486,990,912
200416800,1868-7075,clinical epigenetics,1283,9668,9668,2010,20.884198946407306,8.004280821917808,31.02416212003118,19.85678270581207,75719,26667,53610,20310,3606,2745,255591,100694,4758,3792,603,1134,1125,547,771,773
106296714,0302-9743,lecture notes in computer science,52905,31794,31794,1973,7.41557458144266,6.127120397186595,7.1297041867498345,5.453551545417308,283226,464248,157715,352498,4921,6851,185293,431760,4768,8301,4745,11563,9570,4550,16206,9299
194129668,0959-2709,bird conservation international,1103,3270,3270,1991,7.9542331602124365,6.1408629441624365,8.543970988213962,5.709412243905492,27288,15812,17995,11575,1217,1095,36119,30532,2289,2398,539,665,446,493,674,514
177423656,0354-9836,thermal science,4416,7647,7647,2000,7.385275888630431,5.780711825487945,5.761096014492754,4.455007369963372,42816,24812,33115,18250,2885,1804,67337,41224,3874,3235,1295,1220,1058,1324,1257,1004
130108588,1084-7529,journal of the optical society of america,16669,10163,10163,1917,3.6396769332854086,3.3697898921067577,2.0158977743115964,2.051328956723933,69932,344903,33705,210927,916,5760,42709,371049,1178,6888,7659,3904,4132,6396,4063,4502
2764844316,0369-3775,journal of the fuel society of japan,2361,32,32,1922,3.1091954230002616,3.1482254697286014,0.7729775518847946,1.0407443597594075,36,1256,36,988,13,240,74,2498,6,353,0,0,0,0,106,4
126033908,0008-543X,cancer,43511,126451,126451,1948,10.439980801912107,8.199484646768306,12.523775596975478,8.555081997058823,1046752,2427061,483026,1190152,7558,13529,1075211,2548693,6956,11219,32450,24014,23526,26767,22192,23669
39332106,1045-4446,journal of food products marketing,778,1521,1521,1992,5.82221642537281,5.137417218543046,4.70694087403599,5.550799916457811,20761,6765,15235,5497,2031,1071,26312,12592,2514,1811,220,316,254,254,217,179
113166945,0191-6599,history of european ideas,4115,1165,1165,1980,3.8806053811659194,3.8518099547511313,1.6636695018226002,2.630952380952381,13200,6723,11603,5298,1104,1143,11768,5648,568,913,117,180,100,147,203,147
54816476,0308-0110,medical education,8603,12438,12438,1971,8.320720420011636,7.034289482360699,7.507729861676159,6.050369372906201,97342,206465,51387,102075,4277,7623,102019,230138,4111,7051,4817,2952,2648,4394,2992,2841
96371286,1751-8423,developmental neurorehabilitation,818,2549,2549,2005,12.00816705003308,9.11126961483595,13.43398533007335,11.180984711357521,29930,12043,21696,9475,2407,1667,55023,27079,2857,2460,314,623,622,266,476,465
102309489,0196-0075,library & archival security,320,100,100,1975,1.9788732394366197,2.064516129032258,0.384375,0.09090909090909091,806,563,713,353,164,121,907,551,116,183,35,5,4,70,6,4
171318492,1004-2857,china population resources and environment,3580,98,98,1993,1.599337748344371,1.6118881118881119,0.1318435754189944,0.13605442176870747,309,3345,302,2793,145,501,538,8860,153,785,8,1,6,10,4,100
116290723,0251-3625,disp,180,80,80,1969,5.0813953488372094,5.550724637681159,2.4,2.24,872,420,845,409,251,141,1422,855,351,257,4,19,15,3,19,13
