AffiliationId,NormalizedName,DisplayName,Rank
20455151,air liquide,Air Liquide,9894
24386293,hellenic national meteorological service,Hellenic National Meteorological Service,13953
32956416,catholic university of the west,Catholic University of the West,12983
35926432,mackay medical college,Mackay Medical College,11670
37448385,chinese people s public security university,Chinese People's Public Security University,11879
37712293,madeira interactive technologies institute,Madeira Interactive Technologies Institute,13021
42117203,queen s college london,"Queen's College, London",17220
50614327,amec foster wheeler,Amec Foster Wheeler,11864
62987803,ukrainian state university of finance and international trade,Ukrainian State University of Finance and International Trade,15990
71576600,ural state mining university,Ural State Mining University,13905
76806421,selex sistemi integrati,SELEX Sistemi Integrati,13044
78757542,university of newcastle,University of Newcastle,7498
80046288,walden university,Walden University,10069
81020251,great lakes institute of management,Great Lakes Institute of Management,14206
83776822,shandong institute of business and technology,Shandong Institute of Business and Technology,11811
84117484,college boreal,Collège Boréal,17103
90303723,scientific council for government policy,Scientific Council for Government Policy,14140
94975175,des moines university,Des Moines University,11872
95198407,helpage international,HelpAge International,14617
98720382,american school of classical studies at athens,American School of Classical Studies at Athens,14566
98899809,national bank of belgium,National Bank of Belgium,11944
118024222,christ s hospital,Christ's Hospital,14904
121948355,thanthai periyar government institute of technology,Thanthai Periyar Government Institute of Technology,14347
122655420,penang medical college,Penang Medical College,13615
126884977,kansai medical university,Kansai Medical University,9192
132349299,idexx laboratories,Idexx Laboratories,11927
137612387,korean register of shipping,Korean Register of Shipping,14510
151854742,faculdade de medicina de marilia,Faculdade de Medicina de Marília,12355
154099455,shandong university,Shandong University,7193
158506100,pennsylvania board of probation and parole,Pennsylvania Board of Probation and Parole,17662
162489102,university of batna,University of Batna,11386
165644332,jalpaiguri government engineering college,Jalpaiguri Government Engineering College,13336
167598709,osaka ohtani university,Osaka Ohtani University,12881
178498160,american university in bulgaria,American University in Bulgaria,13469
189460059,el bosque university,El Bosque University,11200
192633058,university of saint joseph,University of Saint Joseph,12700
194999787,cancer council queensland,Cancer Council Queensland,11767
196652580,swami ramanand teerth marathwada university,Swami Ramanand Teerth Marathwada University,12248
203899302,universiti teknologi petronas,Universiti Teknologi Petronas,9920
204250943,gehl architects,Gehl Architects,17077
205665586,rajendra agricultural university,Rajendra Agricultural University,13417
210716285,university of applied sciences leiden,University of Applied Sciences Leiden,13109
282505178,institut d etudes politiques de lille,Institut d'études politiques de Lille,16123
865679216,colorado heights university,Colorado Heights University,16808
874112308,southern technical college,Southern Technical College,16778
880992783,combimatrix,CombiMatrix,13850
898088062,ghana technology university college,Ghana Technology University College,14111
926333354,tetra tech,Tetra Tech,11625
1283052075,american legacy foundation,American Legacy Foundation,13163
1286341389,chengdu neusoft university,Chengdu Neusoft University,14978
1288894424,health canada,Health Canada,8972
1290221998,detroit institute of arts,Detroit Institute of Arts,16756
1292894508,roswell park cancer institute,Roswell Park Cancer Institute,8306
1299743455,department of labour,Department of Labour (New Zealand),17931
1303743778,dharamshila cancer hospital and research centre,Dharamshila Cancer Hospital and Research Centre,16514
1312008915,kuakini medical center,Kuakini Medical Center,11489
1316064682,linkedin,LinkedIn,11355
1317197149,aids project los angeles,AIDS Project Los Angeles,14181
