Issn,journal_name
1015-8987,Cellular Physiology and Biochemistry
0165-5701,International Ophthalmology
0021-9002,Journal of Applied Probability
1759-4758,Nature Reviews Neurology
1868-7075,Clinical Epigenetics
0302-9743,Information Security and Cryptology - ICISC’99
0959-2709,Bird Conservation International
0354-9836,Thermal Science
1084-7529,Journal of the Optical Society of America A
0369-3775,Journal of the Fuel Society of Japan
0008-543X,Cancer
1045-4446,Journal of Food Products Marketing
0191-6599,History of European Ideas
0308-0110,Medical Education
1751-8423,Developmental Neurorehabilitation
0196-0075,Library & Archival Security
1004-2857,Chinese Journal of Population Resources and Environment
0251-3625,disP - The Planning Review
1210-5759,European Journal of Entomology
0269-9648,Probability in the Engineering and Informational Sciences
1947-315X,International Journal of E-Health and Medical Communications
0952-3987,Educational Media International
1740-4622,Communication Teacher
0094-0798,Oral History Review
1573-9538,Purinergic Signalling
0144-932X,The Liverpool Law Review
0022-0493,Journal of Economic Entomology
0098-1389,Social Work in Health Care
2191-9496,Advances in Nonlinear Analysis
0267-5730,International Journal of Technology Management
1017-7825,Journal of Microbiology and Biotechnology
0044-2372,Zeitschrift für Betriebswirtschaft
1615-7591,Bioprocess and Biosystems Engineering
1226-8496,THE JOURNAL OF THE KOREAN ACADEMY OF PEDTATRIC DENTISTRY
1383-5416,International Journal of Applied Electromagnetics and Mechanics
1538-6473,"Criminology <html_ent glyph=""@amp;"" ascii=""&amp;""/> Public Policy"
0912-3814,Ecological Research
0736-0266,Journal of Orthopaedic Research
0022-3069,Journal of Neuropathology & Experimental Neurology
2001-3078,Journal of Extracellular Vesicles
2075-051X,Sultan Qaboos University Medical Journal
1936-6442,Peer-to-Peer Networking and Applications
1996-4196,Chemistry & Chemical Technology
1089-7798,IEEE Communications Letters
0973-7030,Indian Journal of Human Development
1144-0546,New J. Chem.
0360-0025,Sex Roles
1834-7649,International Journal of Accounting & Information Management
0950-2386,Cultural Studies
0942-5616,Mathematical Logic Quarterly
0003-7982,arcadia - International Journal for Literary Studies
1743-5390,Nanotoxicology
1569-1101,Gerontechnology
1939-1412,IEEE Transactions on Haptics
0835-1813,Research on Language and Social Interaction
0039-7946,Syria
1346-7395,The Journal of Poultry Science
