Issn,journal_name,Journal Title Normalized,URL
1015-8987,Cellular Physiology and Biochemistry,cellular physiology and biochemistry,https://www.karger.com/cpb
0165-5701,International Ophthalmology,international ophthalmology,https://www.springer.com/10792
0021-9002,Journal of Applied Probability,journal of applied probability,https://www.cambridge.org/core/journals/journal-of-applied-probability
1759-4758,Nature Reviews Neurology,nature reviews neurology,https://www.nature.com/nrneurol/
1868-7075,Clinical Epigenetics,clinical epigenetics,https://clinicalepigeneticsjournal.biomedcentral.com/
0302-9743,Information Security and Cryptology - ICISC’99,information security and cryptology - icisc’99,https://link.springer.com/book/10.1007/10719994
0959-2709,Bird Conservation International,bird conservation international,https://www.cambridge.org/core/journals/bird-conservation-international
0354-9836,Thermal Science,thermal science,https://www.springer.com/journal/11630
1084-7529,Journal of the Optical Society of America A,journal of the optical society of america a,https://www.osapublishing.org/vjbo/
0369-3775,Journal of the Fuel Society of Japan,journal of the fuel society of japan,https://www.jstage.jst.go.jp/browse/jie1922
0008-543X,Cancer,cancer,https://www.cancer.org/
1045-4446,Journal of Food Products Marketing,journal of food products marketing,https://www.tandfonline.com/toc/wfpm20/current
0191-6599,History of European Ideas,history of european ideas,https://www.tandfonline.com/toc/rhei20/current
0308-0110,Medical Education,medical education,https://onlinelibrary.wiley.com/journal/13652923
1751-8423,Developmental Neurorehabilitation,developmental neurorehabilitation,https://www.tandfonline.com/toc/ipdr20/current
0196-0075,Library & Archival Security,library & archival security,https://library.syr.edu/
1004-2857,Chinese Journal of Population Resources and Environment,chinese journal of population resources and environment,https://www.keaipublishing.com/en/journals/chinese-journal-of-population-resources-and-environment/
0251-3625,disP - The Planning Review,disp - the planning review,https://www.tandfonline.com/toc/rdsp20/current
0269-9648,Probability in the Engineering and Informational Sciences,probability in the engineering and informational sciences,https://www.cambridge.org/core/journals/probability-in-the-engineering-and-informational-sciences
1947-315X,International Journal of E-Health and Medical Communications,international journal of e-health and medical communications,https://www.igi-global.com/journal/international-journal-health-medical-communications/1158
