Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category
International Journal of Economic Perspectives,,"Citation manipulation.
No comprehensive description of the peer review process on the website.
No comprehensive ethics policy regarding malpractice and plagiarism clearly stated on the website.
No comprehensive article retraction/correction policy clearly stated on the website.
No archiving policy clearly stated on the website in the event that the journal should no longer be published.",international journal of economic perspectives,Unknown,Cabell,,,,interesting reason
International Women Online Journal of Distance Education,,"Promises unusually quick peer review.
No information about fees or lack of fees on the website.
Uses misleading metrics.",international women online journal of distance education,Unknown,Cabell,,,,interesting reason
Linguistica Atlantica,,"No editorial board listed on the journal's website.
No comprehensive description of the peer review process on the website.
No comprehensive ethics policy regarding malpractice and plagiarism clearly stated on the website.
No comprehensive article retraction/correction policy clearly stated on the website.
No archiving policy clearly stated on the website in the event that the journal should no longer be published.
No comprehensive copyright policy clearly stated on the website.",linguistica atlantica,Unknown,Cabell,,,,interesting reason
Polar Research / Polarforschung,,"No editorial board listed on the journal's website.
No comprehensive description of the peer review process on the website.
No comprehensive ethics policy regarding malpractice and plagiarism clearly stated on the website.
No comprehensive article retraction/correction policy clearly stated on the webiste.
No archiving policy clearly stated on the website in the event that the journal should no longer be published.
No comprehensive copyright policy clearly stated on the website.
No detailed instructions for authors given on the website.",polar research / polarforschung,Unknown,Cabell,,,,interesting reason
Journal of International Education and Leadership,,"Promises unusually quick peer review.
No archiving policy clearly stated on the website in the event that the journal should no longer be published.",journal of international education and leadership,Unknown,Cabell,,,,interesting reason
T+D Magazine,,Not a peer reviewed journal.,t+d magazine,Unknown,Cabell,,,,interesting reason
EURO-NanoTox-Letters,,New publisher. Unable to find new website for the journal.,euro-nanotox-letters,Unknown,Cabell,,,,interesting reason
Journal of Algebraic Systems,,Still in DOAJ index,journal of algebraic systems,http://jas.shahroodut.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2019-01-26 00:00:00,interesting reason
Revista Pró-UniverSUS,,Still in DOAJ index,revista pró-universus,http://editora.universidadedevassouras.edu.br/index.php/RPU,DOAJ,1.0,1300-01-01 00:00:00,2019-05-08 00:00:00,interesting reason
Journal of Tekirdag Agricultural Faculty,,Journal not adhering to Best Practice,journal of tekirdag agricultural faculty,,DOAJ,0.0,2017-05-31 00:00:00,1200-01-01 00:00:00,interesting reason
Austrian Journal of Humanities and Social Sciences,Unknown,A,austrian journal of humanities and social sciences,https://ew-a.org/journals/61/,Gray OA,,,,interesting reason
Austrian Journal of Technical and Natural Sciences,Unknown,A,austrian journal of technical and natural sciences,https://ew-a.org/journals/62/issue/,Gray OA,,,,interesting reason
European Journal of Analytical and Applied Chemistry,Unknown,A,european journal of analytical and applied chemistry,https://ew-a.org/journals/402/,Gray OA,,,,interesting reason
European Journal of Arts,Unknown,A,european journal of arts,https://ew-a.org/journals/404/,Gray OA,,,,interesting reason
European Journal of Biomedical and Life Sciences,Unknown,A,european journal of biomedical and life sciences,https://ew-a.org/journals/398/issue/,Gray OA,,,,interesting reason
European Journal of Economics and Management Sciences,Unknown,A,european journal of economics and management sciences,https://ew-a.org/journals/399/issue/,Gray OA,,,,interesting reason
European Journal of Education and Applied Psychology,Unknown,A,european journal of education and applied psychology,https://ew-a.org/journals/400/issue/,Gray OA,,,,interesting reason
European Journal of Humanities and Social Sciences,Unknown,A,european journal of humanities and social sciences,https://ew-a.org/journals/769/issue/,Gray OA,,,,interesting reason
