Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category,Folder
Austrian Journal of Humanities and Social Sciences,Unknown,A,austrian journal of humanities and social sciences,https://ew-a.org/journals/61/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_61_
Austrian Journal of Technical and Natural Sciences,Unknown,A,austrian journal of technical and natural sciences,https://ew-a.org/journals/62/issue/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_62_issue_
European Journal of Analytical and Applied Chemistry,Unknown,A,european journal of analytical and applied chemistry,https://ew-a.org/journals/402/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_402_
European Journal of Arts,Unknown,A,european journal of arts,https://ew-a.org/journals/404/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_404_
European Journal of Biomedical and Life Sciences,Unknown,A,european journal of biomedical and life sciences,https://ew-a.org/journals/398/issue/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_398_issue_
European Journal of Economics and Management Sciences,Unknown,A,european journal of economics and management sciences,https://ew-a.org/journals/399/issue/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_399_issue_
European Journal of Education and Applied Psychology,Unknown,A,european journal of education and applied psychology,https://ew-a.org/journals/400/issue/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_400_issue_
European Journal of Humanities and Social Sciences,Unknown,A,european journal of humanities and social sciences,https://ew-a.org/journals/769/issue/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_769_issue_
European Journal of Law and Political Sciences,Unknown,A,european journal of law and political sciences,https://ew-a.org/journals/405/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_405_
European Journal of Literature and Linguistics,Unknown,A,european journal of literature and linguistics,https://ew-a.org/journals/401/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_401_
European Journal of Technical and Natural Sciences,Unknown,A,european journal of technical and natural sciences,https://ew-a.org/journals/770/issue/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_770_issue_
European Science Review,Unknown,A,european science review,https://ew-a.org/journals/337/,Gray OA,,,,interesting reason,https:__ew-a.org_journals_337_
Entrepreneurship and Innovation Management Journal,Unknown,A,entrepreneurship and innovation management journal,Entrep. innov. manag. j.,Gray OA,,,,interesting reason,Entrep. innov. manag. j.
Euro-Asian Journal of Economics and Finance,Unknown,A,euro-asian journal of economics and finance,Euro-Asian j. econ. financ.,Gray OA,,,,interesting reason,Euro-Asian j. econ. financ.
International Journal of Operations and Logistics Management,Unknown,A,international journal of operations and logistics management,Int. j. oper. logist. manag.,Gray OA,,,,interesting reason,Int. j. oper. logist. manag.
Management and Administrative Sciences Review,Unknown,A,management and administrative sciences review,Manag. Adm. Sci. Rev.,Gray OA,,,,interesting reason,Manag. Adm. Sci. Rev.
Social and Basic Sciences Research Review,Unknown,A,social and basic sciences research review,Soc. Basic. Sci. Res. Rev,Gray OA,,,,interesting reason,Soc. Basic. Sci. Res. Rev
